Employee ID,Department,Role,Location,Join Date,Salary AED
1001,Operations,Supervisor,Dubai,26-10-2023,11393
1002,Operations,Executive,Sharjah,20-06-2021,6101
1003,Operations,Supervisor,Abu Dhabi,17-09-2024,11878
1004,Operations,Executive,Abu Dhabi,13-10-2019,6049
1005,Operations,Manager,Dubai,10-09-2020,23717
1006,Operations,Supervisor,Dubai,31-05-2018,12287
1007,Operations,Supervisor,Dubai,10-10-2024,10646
1008,Operations,Manager,Sharjah,02-12-2017,21949
1009,Operations,Manager,Abu Dhabi,18-11-2021,23905
1010,Operations,Manager,Abu Dhabi,25-04-2023,19632
1011,Operations,Executive,Dubai,12-05-2018,7072
1012,Operations,Manager,Sharjah,15-06-2019,22943
1013,Operations,Executive,Sharjah,17-01-2023,7795
1014,Operations,Supervisor,Dubai,02-05-2019,10975
1015,Operations,Supervisor,Dubai,15-08-2021,11709
1016,Operations,Supervisor,Dubai,16-04-2022,12421
1017,Operations,Supervisor,Dubai,30-06-2024,11870
1018,Operations,Manager,Abu Dhabi,25-08-2023,20342
1019,Operations,Supervisor,Dubai,18-04-2021,9003
1020,Operations,Supervisor,Dubai,15-08-2019,13289
1021,Operations,Executive,Abu Dhabi,01-07-2024,7373
1022,Operations,Executive,Dubai,25-06-2021,7187
1023,Operations,Executive,Dubai,15-07-2020,6917
1024,Operations,Supervisor,Dubai,11-12-2020,9009
1025,Operations,Supervisor,Abu Dhabi,06-04-2020,12713
1026,Operations,Manager,Abu Dhabi,03-12-2019,16994
1027,Operations,Manager,Dubai,12-10-2017,24310
1028,Operations,Executive,Abu Dhabi,11-09-2023,6604
1029,Operations,Manager,Abu Dhabi,12-01-2017,20415
1030,Operations,Supervisor,Dubai,19-06-2021,9872
1031,Operations,Supervisor,Abu Dhabi,22-12-2023,11898
1032,Operations,Supervisor,Dubai,24-01-2019,9600
1033,Operations,Executive,Dubai,14-09-2022,7449
1034,Operations,Manager,Sharjah,06-08-2024,17712
1035,Operations,Executive,Sharjah,06-12-2024,6248
1036,Operations,Executive,Sharjah,31-03-2017,7151
1037,Operations,Supervisor,Dubai,15-02-2019,11035
1038,Operations,Manager,Dubai,06-04-2024,16120
1039,Operations,Executive,Abu Dhabi,14-06-2021,5950
1040,Operations,Manager,Dubai,22-02-2018,22326
1041,Operations,Manager,Dubai,25-04-2017,17371
1042,Operations,Executive,Abu Dhabi,09-09-2018,5129
1043,Operations,Manager,Dubai,06-04-2019,21166
1044,Operations,Manager,Sharjah,08-07-2021,22783
1045,Operations,Supervisor,Dubai,25-02-2021,9827
1046,Operations,Executive,Abu Dhabi,17-02-2018,7935
1047,Operations,Manager,Dubai,30-12-2018,18368
1048,Operations,Supervisor,Abu Dhabi,09-09-2024,11861
1049,Operations,Supervisor,Abu Dhabi,07-11-2018,12030
1050,Operations,Manager,Dubai,08-03-2022,24524
1051,Operations,Executive,Sharjah,10-11-2023,5201
1052,Operations,Manager,Abu Dhabi,18-02-2023,22973
1053,Operations,Supervisor,Sharjah,18-08-2024,12600
1054,Operations,Manager,Sharjah,28-01-2020,16990
1055,Operations,Supervisor,Abu Dhabi,21-04-2021,13158
1056,Operations,Supervisor,Sharjah,05-09-2019,9966
1057,Operations,Executive,Dubai,06-10-2019,5147
1058,Operations,Executive,Dubai,14-11-2022,6383
1059,Operations,Manager,Dubai,15-08-2021,17079
1060,Operations,Supervisor,Dubai,03-06-2024,13524
1061,Operations,Manager,Dubai,06-02-2017,21645
1062,Operations,Executive,Dubai,29-03-2021,7161
1063,Operations,Executive,Sharjah,16-05-2023,5054
1064,Operations,Executive,Dubai,15-03-2023,7134
1065,Operations,Executive,Dubai,24-12-2024,5832
1066,Operations,Supervisor,Abu Dhabi,23-05-2019,12300
1067,Operations,Executive,Dubai,27-12-2021,6287
1068,Operations,Executive,Sharjah,20-07-2020,5181
1069,Operations,Supervisor,Dubai,11-10-2022,12156
1070,Operations,Executive,Sharjah,19-08-2018,5914
1071,Operations,Manager,Abu Dhabi,19-03-2022,19491
1072,Operations,Executive,Dubai,30-12-2018,5804
1073,Operations,Executive,Dubai,27-09-2020,7761
1074,Operations,Executive,Sharjah,01-02-2018,7573
1075,Operations,Executive,Abu Dhabi,30-11-2018,6781
1076,Operations,Supervisor,Abu Dhabi,03-02-2023,11657
1077,Operations,Manager,Abu Dhabi,24-06-2021,20475
1078,Operations,Executive,Dubai,31-01-2018,7981
1079,Operations,Supervisor,Dubai,29-10-2023,13826
1080,Operations,Executive,Dubai,17-03-2017,7040
1081,Operations,Executive,Sharjah,22-09-2017,5701
1082,Operations,Supervisor,Abu Dhabi,08-11-2023,11866
1083,Operations,Supervisor,Dubai,25-12-2021,12850
1084,Operations,Executive,Dubai,19-12-2018,5186
1085,Operations,Manager,Dubai,14-08-2024,22479
1086,Operations,Executive,Dubai,01-05-2019,6785
1087,Operations,Manager,Abu Dhabi,22-10-2020,16524
1088,Operations,Executive,Abu Dhabi,24-05-2017,7760
1089,Operations,Supervisor,Sharjah,04-06-2019,12569
1090,Operations,Manager,Abu Dhabi,31-01-2018,19090
1091,Operations,Executive,Dubai,01-02-2021,6040
1092,Operations,Supervisor,Abu Dhabi,13-03-2020,13062
1093,Operations,Executive,Abu Dhabi,01-03-2024,7421
1094,Operations,Executive,Abu Dhabi,29-11-2019,6561
1095,Operations,Executive,Abu Dhabi,27-11-2022,6817
1096,Operations,Executive,Abu Dhabi,02-12-2019,5136
1097,Operations,Supervisor,Abu Dhabi,24-04-2020,9934
1098,Operations,Manager,Dubai,12-09-2023,17667
1099,Operations,Executive,Dubai,26-09-2018,6121
1100,Operations,Manager,Dubai,02-03-2020,20468
1101,Operations,Supervisor,Dubai,23-05-2020,13111
1102,Operations,Supervisor,Abu Dhabi,03-01-2019,12241
1103,Operations,Manager,Dubai,23-08-2017,22206
1104,Operations,Supervisor,Abu Dhabi,29-05-2024,13572
1105,Operations,Executive,Sharjah,21-01-2019,5271
1106,Operations,Supervisor,Dubai,20-03-2024,13435
1107,Operations,Manager,Dubai,12-08-2019,15145
1108,Operations,Supervisor,Abu Dhabi,15-12-2023,9704
1109,Operations,Manager,Dubai,23-03-2021,16828
